Date,Upstream Width (ft),Downstream Width (ft)
2016-01-12,65.0,
2016-01-14,,57.0
2016-02-26,65.0,58.0
2016-04-06,,58.5
2016-04-07,65.0,
2016-05-12,61.0,58.5
2016-06-24,64.0,62.1
2016-06-27,64.5,59.0
2016-07-27,62.0,
2016-07-28,,59.0
2016-09-06,61.0,61.4
2016-10-18,64.0,59.5
2016-11-29,63.0,
2016-11-30,,56.3
2016-12-21,54.0,
2016-12-28,,47.0
2017-01-30,58.0,
2017-02-08,,56.0
2017-03-15,55.0,53.0
2017-04-24,,57.2
2017-05-03,53.0,
2017-05-15,,62.9
2017-05-18,65.0,
2017-06-08,,60.1
2017-06-09,69.0,
2017-07-20,61.0,56.7
2017-08-21,,53.8
2017-08-29,47.0,
2017-09-13,,58.5
2017-10-11,63.4,57.2
2017-11-13,63.0,58.7
2017-12-28,84.0,
2017-12-29,,47.0
2018-01-30,55.0,
2018-01-31,,60.0
2018-03-12,,52.9
2018-03-14,62.0,
2018-04-24,,59.9
2018-04-25,62.0,
2018-06-04,,62.1
2018-06-11,61.0,
2018-07-16,,61.0
2018-07-17,63.0,
2018-08-28,60.0,59.8
2018-10-05,,58.0
2018-10-10,60.0,
2018-11-15,56.5,61.3
2019-01-31,,52.3
2019-02-11,59.0,
2019-03-12,56.0,51.5
2019-04-23,57.0,58.0
2019-05-31,,62.0
2019-06-03,64.0,
2019-06-24,,61.7
2019-06-25,,63.2
2019-06-27,66.0,
2019-07-11,,61.4
2019-08-09,49.0,
2019-08-22,,67.5
2019-09-18,57.0,
2019-10-09,,53.0
2019-10-31,56.0,
2019-11-13,,54.9
2019-12-13,59.0,
2019-12-20,,53.2
2020-01-29,58.5,56.0
2020-03-09,59.0,
2020-03-12,,54.0
2020-04-24,58.5,
2020-05-22,,61.4
2020-05-27,75.7,
2020-07-02,,59.5
2020-07-08,61.7,
2020-08-14,,59.9
2020-08-18,61.5,
2020-10-01,,57.8
2020-10-08,64.5,
2020-11-05,60.0,
2020-11-18,,60.7
2020-12-15,60.0,
2021-01-06,,60.0
2021-01-21,61.0,
2021-02-18,,56.5
2021-03-04,59.0,
2021-04-15,62.0,
2021-06-03,58.0,
2021-07-09,58.0,
2021-09-16,61.0,
2021-09-21,,63.3
2021-10-28,58.0,
2021-12-13,58.0,
2022-01-04,,61.0
2022-01-28,57.0,
2022-03-14,57.0,
2022-04-25,56.0,
2022-04-26,,59.0
2022-06-09,59.0,
2022-07-29,56.0,
2022-09-06,63.5,
2022-09-19,,56.0
2022-10-24,58.0,
2022-12-19,60.0,
2023-03-03,,56.8
2023-03-06,60.0,
2023-04-20,63.0,59.6
2023-06-01,70.0,65.7
2023-07-18,62.0,
2023-07-20,,62.2
2023-08-31,49.0,
2023-09-05,,62.6
2023-10-30,60.0,
2023-12-11,60.0,
2023-12-12,,60.7
2024-02-06,,54.7
2024-02-08,55.9,
2024-04-16,65.0,56.7
2024-05-14,66.0,55.9
2024-06-03,74.0,81.6
2024-06-25,63.0,
2024-07-16,57.1,61.0
2024-08-07,,60.6
2024-10-08,61.5,57.8
2024-12-13,57.0,56.5
2025-02-12,56.0,60.4
2025-04-08,57.0,62.7
2025-05-23,66.0,66.3
2025-07-22,,60.4
2025-07-31,56.0,
2025-08-21,,64.3
2025-08-29,59.0,
2025-09-26,,62.8
2025-11-21,55.0,
2025-12-22,,60.2
